latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
28.2257,84.8393,307.8,2.1,1.4,2018-03-01,0441,Terra,MODIS,36,6.03,291.8,13.3,D,0
26.3758,83.2203,315.2,1.1,1,2018-03-01,0752,Aqua,MODIS,0,6.03,301.6,5.4,D,0
28.102,80.5151,315.6,1,1,2018-03-01,0753,Aqua,MODIS,68,6.03,292.5,8.3,D,0
28.176,81.2057,322.4,1,1,2018-03-01,0753,Aqua,MODIS,67,6.03,302.5,13,D,0
28.0915,84.8711,312.6,1.3,1.1,2018-03-01,0753,Aqua,MODIS,37,6.03,291.8,8.4,D,0
27.3683,83.7876,318.3,1.1,1.1,2018-03-01,0753,Aqua,MODIS,72,6.03,298.8,10.4,D,0
26.9088,81.055,322.9,1,1,2018-03-01,0753,Aqua,MODIS,75,6.03,301.3,11.4,D,0
26.9432,84.211,323.5,1.2,1.1,2018-03-01,0753,Aqua,MODIS,67,6.03,306,13.2,D,0
28.3665,80.7371,332.7,1,1,2018-03-01,0753,Aqua,MODIS,86,6.03,300.8,25.2,D,0
28.5871,80.6097,323.7,1,1,2018-03-01,0753,Aqua,MODIS,78,6.03,300.5,16.4,D,0
28.4318,80.683,346.8,1,1,2018-03-01,0753,Aqua,MODIS,94,6.03,304.4,47.8,D,0
28.411,80.7286,323.5,1,1,2018-03-01,0753,Aqua,MODIS,76,6.03,298.1,15.5,D,0
28.4125,80.7387,324.2,1,1,2018-03-01,0753,Aqua,MODIS,79,6.03,296.7,16.6,D,0
28.365,80.727,356.1,1,1,2018-03-01,0753,Aqua,MODIS,98,6.03,305.3,69,D,0
29.3778,80.8467,312.7,1,1,2018-03-01,0753,Aqua,MODIS,51,6.03,282.9,8.6,D,0
29.9006,80.3,307.8,1,1,2018-03-02,0523,Terra,MODIS,18,6.03,294.5,4.6,D,0
29.8773,80.1338,309.7,1,1,2018-03-02,0523,Terra,MODIS,60,6.03,297.2,6.7,D,0
27.8367,80.6909,313.4,1,1,2018-03-02,0524,Terra,MODIS,63,6.03,299.2,6.7,D,0
27.4673,84.3682,310.5,1.3,1.1,2018-03-02,0524,Terra,MODIS,38,6.03,296.9,8.1,D,0
28.1103,80.5218,324.1,1,1,2018-03-02,0524,Terra,MODIS,78,6.03,301.9,15.8,D,0
28.2526,80.6221,314.6,1,1,2018-03-02,0524,Terra,MODIS,65,6.03,300.8,6.6,D,0
28.3465,80.9865,311.7,1,1,2018-03-02,0524,Terra,MODIS,59,6.03,298.8,5.6,D,0
28.7514,80.2249,316.3,1,1,2018-03-02,0524,Terra,MODIS,70,6.03,302.6,7.6,D,0
29.2826,80.8896,311.9,1,1,2018-03-02,0524,Terra,MODIS,58,6.03,300.1,4.6,D,0
27.8654,81.43,312,1,1,2018-03-02,0524,Terra,MODIS,58,6.03,298.7,6.2,D,0
28.8524,80.1052,314.8,3.4,1.7,2018-03-02,0836,Aqua,MODIS,27,6.03,301.9,36.8,D,0
28.8494,80.1352,312.5,3.4,1.7,2018-03-02,0836,Aqua,MODIS,50,6.03,300.9,31.1,D,0
28.3864,80.7559,314.9,3.7,1.8,2018-03-02,0836,Aqua,MODIS,41,6.03,299.4,45.1,D,0
28.3702,80.7573,331.7,3.7,1.8,2018-03-02,0836,Aqua,MODIS,85,6.03,299.8,160,D,0
28.3516,80.7214,315.8,3.7,1.8,2018-03-02,0836,Aqua,MODIS,55,6.03,301,41.6,D,0
27.9793,83.6201,308.5,1.4,1.2,2018-03-02,1622,Terra,MODIS,75,6.03,285.6,15.9,N,0
28.8368,80.1697,352.3,3.3,1.7,2018-03-03,0606,Terra,MODIS,97,6.03,298.3,346.7,D,0
28.8332,80.1966,322.5,3.3,1.7,2018-03-03,0606,Terra,MODIS,80,6.03,295.7,84.4,D,0
28.8404,80.1642,349.1,3.3,1.7,2018-03-03,0606,Terra,MODIS,95,6.03,298.4,308.3,D,0
28.8295,80.2021,313.3,3.3,1.7,2018-03-03,0606,Terra,MODIS,70,6.03,295.6,38.1,D,0
26.4667,84.5921,325.3,1,1,2018-03-03,0740,Aqua,MODIS,0,6.03,304.1,13.4,D,0
27.1359,81.6793,314.1,1.2,1.1,2018-03-03,0740,Aqua,MODIS,51,6.03,302.2,6,D,2
27.3373,83.6737,314.7,1,1,2018-03-03,0740,Aqua,MODIS,62,6.03,302,6.9,D,0
26.7416,82.2785,334.6,1.1,1.1,2018-03-03,0740,Aqua,MODIS,65,6.03,309.6,29.7,D,0
27.0053,87.4319,321.6,1.2,1.1,2018-03-03,0740,Aqua,MODIS,72,6.03,302.9,12.6,D,0
28.0529,81.3052,316.6,1.2,1.1,2018-03-03,0741,Aqua,MODIS,52,6.03,304.4,8.4,D,0
28.2463,83.3391,310.8,1,1,2018-03-03,0741,Aqua,MODIS,47,6.03,296,7.6,D,0
28.0474,84.9478,316.5,1,1,2018-03-03,0741,Aqua,MODIS,65,6.03,304.2,8,D,0
28.0626,81.3031,320.5,1.2,1.1,2018-03-03,0741,Aqua,MODIS,72,6.03,304.1,13.4,D,0
29.5139,80.3282,320.6,1.3,1.1,2018-03-03,0741,Aqua,MODIS,79,6.03,302.2,19.4,D,0
29.1018,80.6291,311.3,1.3,1.1,2018-03-03,0741,Aqua,MODIS,63,6.03,299.3,8.6,D,0
28.8446,80.1606,333.2,1.4,1.2,2018-03-03,0741,Aqua,MODIS,87,6.03,299.2,41.8,D,0
28.832,80.1494,314.2,1.4,1.2,2018-03-03,0741,Aqua,MODIS,39,6.03,295.5,9.3,D,0
28.8344,80.163,346.2,1.4,1.2,2018-03-03,0741,Aqua,MODIS,94,6.03,295.3,75.6,D,0
28.8368,80.1765,336.3,1.4,1.2,2018-03-03,0741,Aqua,MODIS,89,6.03,294.5,49.1,D,0
28.5564,80.5138,316.3,1.3,1.1,2018-03-03,0741,Aqua,MODIS,70,6.03,302.8,10.3,D,0
28.5422,80.6117,315.1,1.3,1.1,2018-03-03,0741,Aqua,MODIS,63,6.03,300.8,11.5,D,0
28.2504,80.5319,318.8,1.3,1.1,2018-03-03,0741,Aqua,MODIS,71,6.03,301.8,14.8,D,0
28.545,83.3572,316.5,1,1,2018-03-03,0741,Aqua,MODIS,71,6.03,300.5,10.6,D,0
28.5466,83.3677,315.9,1,1,2018-03-03,0741,Aqua,MODIS,60,6.03,303.3,11,D,0
28.0986,81.3274,314.4,1.2,1.1,2018-03-03,0741,Aqua,MODIS,59,6.03,302.2,6.9,D,0
28.0956,81.321,313.8,1.2,1.1,2018-03-03,0741,Aqua,MODIS,57,6.03,301.8,6.1,D,0
28.4977,83.2188,303,1,1,2018-03-04,0511,Terra,MODIS,28,6.03,288.7,4.7,D,0
28.4963,83.2288,302.5,1,1,2018-03-04,0511,Terra,MODIS,19,6.03,288.5,4.6,D,0
28.1697,83.835,309.7,1,1,2018-03-04,0511,Terra,MODIS,67,6.03,288.6,7.3,D,0
26.9362,84.6762,312.6,1,1,2018-03-04,0512,Terra,MODIS,56,6.03,301.3,5.1,D,0
26.8606,83.0754,318.2,1,1,2018-03-04,0512,Terra,MODIS,70,6.03,300.7,10.4,D,0
26.8621,83.0654,321.8,1,1,2018-03-04,0512,Terra,MODIS,75,6.03,302.7,13.9,D,0
26.9346,84.6863,317.2,1,1,2018-03-04,0512,Terra,MODIS,68,6.03,301.5,9.4,D,0
27.0215,84.5426,315.3,1,1,2018-03-04,0512,Terra,MODIS,64,6.03,301.9,6,D,0
27.4966,85.1709,306.3,1,1,2018-03-04,0512,Terra,MODIS,43,6.03,292,6.9,D,0
28.1219,80.5099,315.7,2.1,1.4,2018-03-04,0824,Aqua,MODIS,64,6.03,302.8,18.3,D,0
28.3759,80.7342,319.7,2.2,1.4,2018-03-04,0824,Aqua,MODIS,66,6.03,302.1,29,D,0
28.3753,80.7269,317.6,2.2,1.4,2018-03-04,0824,Aqua,MODIS,43,6.03,302.3,21.4,D,0
28.2507,80.3951,307.5,2.2,1.4,2018-03-05,0554,Terra,MODIS,26,6.03,296.4,10.6,D,0
28.779,80.2109,339,2,1.4,2018-03-05,0554,Terra,MODIS,90,6.03,300.6,99.3,D,0
28.7831,80.1907,313.5,2,1.4,2018-03-05,0554,Terra,MODIS,52,6.03,302.2,15,D,0
28.7913,80.2141,341.8,2,1.4,2018-03-05,0554,Terra,MODIS,92,6.03,299.8,113.6,D,0
28.7953,80.1938,311.4,2,1.4,2018-03-05,0554,Terra,MODIS,30,6.03,299.7,10.8,D,0
27.5924,85.6466,317.1,1.1,1,2018-03-05,0728,Aqua,MODIS,64,6.03,303,8,D,0
27.7927,85.0074,326.1,1.1,1.1,2018-03-05,0728,Aqua,MODIS,80,6.03,306.5,18.8,D,0
27.8054,84.5293,320.2,1.2,1.1,2018-03-05,0728,Aqua,MODIS,73,6.03,299.1,17.2,D,0
27.7342,84.2287,320.1,1.2,1.1,2018-03-05,0728,Aqua,MODIS,69,6.03,301,16.4,D,0
27.7345,84.2339,323.2,1.2,1.1,2018-03-05,0728,Aqua,MODIS,76,6.03,300.7,20.7,D,0
27.534,84.5654,323.6,1.2,1.1,2018-03-05,0728,Aqua,MODIS,76,6.03,302.3,18.3,D,0
27.5364,84.6392,313.3,1.2,1.1,2018-03-05,0728,Aqua,MODIS,57,6.03,301,7.9,D,0
27.5722,84.9122,314.9,1.2,1.1,2018-03-05,0728,Aqua,MODIS,54,6.03,300.3,8.2,D,0
27.5908,85.6362,315.2,1.1,1,2018-03-05,0728,Aqua,MODIS,60,6.03,301.5,6.7,D,0
27.383,85.2169,317.7,1.1,1.1,2018-03-05,0728,Aqua,MODIS,69,6.03,303.5,10.1,D,0
26.991,85.7126,317.4,1.1,1,2018-03-05,0728,Aqua,MODIS,38,6.03,303.1,6.6,D,0
26.9471,87.5506,324.1,1,1,2018-03-05,0728,Aqua,MODIS,75,6.03,309,11.7,D,0
28.0238,81.3556,313.9,1.9,1.3,2018-03-05,0728,Aqua,MODIS,65,6.03,302.6,11.7,D,0
28.2567,80.4231,312.2,2.1,1.4,2018-03-05,0729,Aqua,MODIS,63,6.03,297.9,18.2,D,0
28.2518,80.4094,312.5,2.1,1.4,2018-03-05,0729,Aqua,MODIS,53,6.03,297.9,18.3,D,0
28.7891,80.227,321.8,2.1,1.4,2018-03-05,0729,Aqua,MODIS,78,6.03,299,40.2,D,0
28.8475,80.2513,334.1,2.1,1.4,2018-03-05,0729,Aqua,MODIS,68,6.03,300,84,D,0
28.7849,80.2058,341.9,2.1,1.4,2018-03-05,0729,Aqua,MODIS,92,6.03,301,121.9,D,0
27.8296,84.7913,300.4,1.5,1.2,2018-03-05,1653,Terra,MODIS,12,6.03,288.4,7.9,N,0
27.8265,84.783,303.1,1.5,1.2,2018-03-05,1653,Terra,MODIS,53,6.03,289,11,N,0
27.9267,83.8111,306.1,1.3,1.1,2018-03-05,1653,Terra,MODIS,67,6.03,289.7,11.4,N,0
27.9282,83.8243,300.6,1.3,1.1,2018-03-05,1653,Terra,MODIS,29,6.03,289.4,6.4,N,0
27.9165,83.8134,300.4,1.3,1.1,2018-03-05,1653,Terra,MODIS,9,6.03,290.3,5.6,N,0
28.037,86.2899,301.7,1,1,2018-03-06,0459,Terra,MODIS,19,6.03,288.9,7,D,0
27.7059,84.7984,315.7,1.1,1.1,2018-03-06,0459,Terra,MODIS,67,6.03,300,11.3,D,0
27.8184,84.7861,316.5,1.1,1.1,2018-03-06,0459,Terra,MODIS,64,6.03,303.1,9.2,D,0
27.4026,87.0423,317.9,1,1,2018-03-06,0459,Terra,MODIS,67,6.03,300.3,11.6,D,0
27.7763,84.9617,315.3,1.1,1,2018-03-06,0459,Terra,MODIS,68,6.03,299.2,8.1,D,0
26.4171,87.5787,327.9,1,1,2018-03-06,0500,Terra,MODIS,80,6.03,303.1,19.3,D,0
26.9108,87.6173,317.1,4,1.9,2018-03-06,0811,Aqua,MODIS,67,6.03,299.2,76.7,D,0
26.9378,87.313,335.4,3.8,1.8,2018-03-06,0811,Aqua,MODIS,87,6.03,303.9,183.7,D,0
26.9079,87.5771,324.5,3.9,1.8,2018-03-06,0811,Aqua,MODIS,78,6.03,301,127,D,0
28.3922,80.8819,313.3,1.4,1.2,2018-03-06,0811,Aqua,MODIS,37,6.03,302.6,8.6,D,0
28.3273,80.4142,312.5,1.3,1.1,2018-03-06,0811,Aqua,MODIS,53,6.03,300.6,7.9,D,0
28.1919,81.2038,319.9,1.5,1.2,2018-03-06,0811,Aqua,MODIS,63,6.03,304.8,19.3,D,0
28.1935,81.2187,312.2,1.5,1.2,2018-03-06,0811,Aqua,MODIS,47,6.03,301.3,8.7,D,0
28.0794,81.3172,318.2,1.5,1.2,2018-03-06,0811,Aqua,MODIS,58,6.03,302.2,14.2,D,0
28.0755,81.3082,318.2,1.5,1.2,2018-03-06,0811,Aqua,MODIS,69,6.03,302.2,15.4,D,0
28.0772,81.3232,318.6,1.5,1.2,2018-03-06,0811,Aqua,MODIS,70,6.03,302.2,16.1,D,0
28.0738,82.8219,321,1.9,1.3,2018-03-06,0811,Aqua,MODIS,74,6.03,301.3,29,D,0
28.0754,82.8381,320.9,1.9,1.3,2018-03-06,0811,Aqua,MODIS,74,6.03,298.3,29.7,D,0
27.7026,84.7854,312,2.5,1.5,2018-03-06,0811,Aqua,MODIS,45,6.03,299.2,18.8,D,0
27.6211,84.1941,318.9,2.3,1.5,2018-03-06,0811,Aqua,MODIS,67,6.03,301.1,29.7,D,0
27.6233,84.2174,315.9,2.3,1.5,2018-03-06,0811,Aqua,MODIS,53,6.03,303.2,18.8,D,0
27.5551,84.4718,315.4,2.4,1.5,2018-03-06,0811,Aqua,MODIS,17,6.03,301.2,20.1,D,0
27.5351,84.4006,310.9,2.4,1.5,2018-03-06,0811,Aqua,MODIS,5,6.03,299.4,14.8,D,0
26.9457,87.2982,323.7,3.8,1.8,2018-03-06,0811,Aqua,MODIS,76,6.03,302.1,93.2,D,0
26.9301,87.3089,320,3.8,1.8,2018-03-06,0811,Aqua,MODIS,48,6.03,303,65.3,D,0
26.9149,87.5694,318.8,3.9,1.8,2018-03-06,0811,Aqua,MODIS,70,6.03,301,80.8,D,0
26.9175,87.6082,322.8,4,1.9,2018-03-06,0811,Aqua,MODIS,76,6.03,299.9,113.7,D,0
27.7919,85.0277,300.8,1,1,2018-03-06,2018,Aqua,MODIS,29,6.03,286.3,6,N,0
27.7828,85.0266,301.9,1,1,2018-03-06,2018,Aqua,MODIS,45,6.03,286.2,6.8,N,0
26.9143,81.051,314.5,1.6,1.2,2018-03-07,0542,Terra,MODIS,56,6.03,303.1,8.9,D,0
26.9148,81.0575,323.9,1.6,1.2,2018-03-07,0542,Terra,MODIS,78,6.03,303.5,26,D,0
26.8076,84.2835,313.7,2.6,1.6,2018-03-07,0542,Terra,MODIS,49,6.03,301.1,23.9,D,0
28.0403,80.3348,312.7,1.4,1.2,2018-03-07,0542,Terra,MODIS,61,6.03,299.4,10.5,D,0
28.2234,80.5306,312.8,1.4,1.2,2018-03-07,0542,Terra,MODIS,48,6.03,300.2,10.2,D,0
28.5281,80.1974,312.7,1.3,1.1,2018-03-07,0542,Terra,MODIS,63,6.03,297.9,12,D,0
28.0717,82.8343,309.6,2,1.4,2018-03-07,0542,Terra,MODIS,60,6.03,298,15.1,D,0
28.8131,80.1583,314.7,1.3,1.1,2018-03-07,0542,Terra,MODIS,52,6.03,301.3,9.9,D,0
27.4267,87.7316,300.1,4.4,1.9,2018-03-07,0542,Terra,MODIS,24,6.03,288.5,37.2,D,0
26.965,87.1443,317,1.3,1.1,2018-03-07,0716,Aqua,MODIS,70,6.03,299.4,12.2,D,0
26.9669,87.1555,320.1,1.3,1.1,2018-03-07,0716,Aqua,MODIS,75,6.03,301,16.2,D,0
26.9916,87.3007,312,1.3,1.1,2018-03-07,0716,Aqua,MODIS,49,6.03,297.8,8.6,D,0
26.9678,87.53,324.3,1.2,1.1,2018-03-07,0716,Aqua,MODIS,63,6.03,305.8,17.7,D,0
26.9599,87.5437,325.3,1.2,1.1,2018-03-07,0716,Aqua,MODIS,56,6.03,305,18.4,D,0
27.1217,87.586,325.9,1.2,1.1,2018-03-07,0716,Aqua,MODIS,77,6.03,307.8,20,D,0
28.2228,80.5174,309.8,3.4,1.7,2018-03-07,0716,Aqua,MODIS,56,6.03,299.2,23.9,D,0
28.5798,83.2589,305.7,2.2,1.4,2018-03-07,0716,Aqua,MODIS,40,6.03,293.9,20,D,0
28.1922,84.8687,310,1.7,1.3,2018-03-07,0716,Aqua,MODIS,43,6.03,296.6,13.9,D,0
27.555,84.1308,314.3,2,1.4,2018-03-07,0716,Aqua,MODIS,22,6.03,303.5,16.7,D,2
27.6991,85.0225,315.2,1.7,1.3,2018-03-07,0716,Aqua,MODIS,59,6.03,300.7,18.2,D,0
27.557,84.5294,317.9,1.9,1.3,2018-03-07,0716,Aqua,MODIS,23,6.03,302.1,14.2,D,0
27.5478,84.5192,319.3,1.9,1.3,2018-03-07,0716,Aqua,MODIS,66,6.03,304.3,22.8,D,0
27.7874,86.2613,321.4,1.4,1.2,2018-03-07,0716,Aqua,MODIS,71,6.03,296.6,27,D,0
27.7824,86.2647,320.4,1.4,1.2,2018-03-07,0716,Aqua,MODIS,70,6.03,299.3,24.6,D,0
27.2765,84.9418,310.7,1.8,1.3,2018-03-07,0716,Aqua,MODIS,52,6.03,299,12.3,D,0
27.1548,84.9208,312.9,1.8,1.3,2018-03-07,0716,Aqua,MODIS,53,6.03,301.3,11.6,D,0
27.4321,87.7178,311.9,1.2,1.1,2018-03-07,0716,Aqua,MODIS,52,6.03,297.6,10.3,D,0
27.1521,86.7429,324,1.4,1.2,2018-03-07,0716,Aqua,MODIS,79,6.03,304,22.2,D,0
27.0879,87.2035,318.2,1.3,1.1,2018-03-07,0716,Aqua,MODIS,58,6.03,302.7,12.6,D,0
27.0903,87.2176,320.3,1.3,1.1,2018-03-07,0716,Aqua,MODIS,60,6.03,301.3,15.7,D,0
27.1121,87.5887,319.4,1.2,1.1,2018-03-07,0716,Aqua,MODIS,32,6.03,303.1,9.5,D,0
27.0801,87.5197,321.7,1.2,1.1,2018-03-07,0716,Aqua,MODIS,62,6.03,304.4,14.4,D,0
27.082,87.5311,328.3,1.2,1.1,2018-03-07,0716,Aqua,MODIS,83,6.03,308.8,24.1,D,0
27.2912,86.0314,316.3,1.2,1.1,2018-03-07,1640,Terra,MODIS,93,6.03,289.3,20.3,N,0
27.1636,86.7478,302.4,1.3,1.1,2018-03-07,1640,Terra,MODIS,45,6.03,287.8,8.2,N,0
26.8914,84.8001,312.4,1.6,1.2,2018-03-08,0447,Terra,MODIS,57,6.03,299.4,11.2,D,0
27.1712,86.751,319.3,1.2,1.1,2018-03-08,0447,Terra,MODIS,74,6.03,298.3,14.7,D,0
27.2883,86.0356,331.8,1.4,1.2,2018-03-08,0447,Terra,MODIS,85,6.03,296.9,40,D,0
28.5595,80.4542,311.7,3.4,1.7,2018-03-08,0447,Terra,MODIS,64,6.03,298.3,29.9,D,0
28.5546,80.4598,311.5,3.4,1.7,2018-03-08,0447,Terra,MODIS,64,6.03,298.3,29.9,D,0
28.2102,84.8263,310.5,1.7,1.3,2018-03-08,0447,Terra,MODIS,47,6.03,297,11.3,D,0
27.211,87.7131,312.6,1.1,1.1,2018-03-08,0447,Terra,MODIS,67,6.03,297.7,7,D,0
27.2124,87.7024,315.7,1.1,1.1,2018-03-08,0447,Terra,MODIS,72,6.03,298.4,10.3,D,0
29.434,80.8803,316.8,1,1,2018-03-08,0759,Aqua,MODIS,54,6.03,301.8,7.6,D,0
29.4354,80.8908,315.5,1,1,2018-03-08,0759,Aqua,MODIS,33,6.03,302,6,D,0
29.425,80.8824,325.8,1,1,2018-03-08,0759,Aqua,MODIS,81,6.03,304.6,17.8,D,0
29.4264,80.8932,321.2,1,1,2018-03-08,0759,Aqua,MODIS,70,6.03,303.3,12.2,D,0
28.6952,80.4468,322.4,1,1,2018-03-08,0759,Aqua,MODIS,75,6.03,306.5,11.1,D,0
28.6739,80.4927,315.8,1,1,2018-03-08,0759,Aqua,MODIS,52,6.03,303.2,5.8,D,0
28.5411,80.6658,312.5,1,1,2018-03-08,0759,Aqua,MODIS,46,6.03,301,5.4,D,0
28.5426,80.6761,315.4,1,1,2018-03-08,0759,Aqua,MODIS,62,6.03,299.9,7.9,D,0
28.4254,80.0283,315.1,1,1,2018-03-08,0759,Aqua,MODIS,60,6.03,303.4,8.1,D,0
28.2879,80.4291,319.7,1,1,2018-03-08,0759,Aqua,MODIS,55,6.03,302.8,9.1,D,0
28.2658,80.4085,316.9,1,1,2018-03-08,0759,Aqua,MODIS,58,6.03,302.6,8.3,D,0
28.2672,80.4187,318.2,1,1,2018-03-08,0759,Aqua,MODIS,37,6.03,305.2,8.8,D,0
28.3498,81.0911,316.9,1,1,2018-03-08,0759,Aqua,MODIS,46,6.03,300.6,8.7,D,0
28.2474,80.4744,314.1,1,1,2018-03-08,0759,Aqua,MODIS,55,6.03,303.4,5.8,D,0
28.4348,83.3775,320.1,1.3,1.1,2018-03-08,0759,Aqua,MODIS,76,6.03,296.7,18.6,D,0
28.1263,81.003,318.4,1,1,2018-03-08,0759,Aqua,MODIS,67,6.03,304.7,6.9,D,0
