latitude,longitude,acq_date,confidence
28.102,80.5151,2018-03-01,68
28.176,81.2057,2018-03-01,67
27.3683,83.7876,2018-03-01,72
26.9088,81.055,2018-03-01,75
26.9432,84.211,2018-03-01,67
28.3665,80.7371,2018-03-01,86
28.5871,80.6097,2018-03-01,78
28.4318,80.683,2018-03-01,94
28.411,80.7286,2018-03-01,76
28.4125,80.7387,2018-03-01,79
28.365,80.727,2018-03-01,98
29.3778,80.8467,2018-03-01,51
29.8773,80.1338,2018-03-02,60
27.8367,80.6909,2018-03-02,63
28.1103,80.5218,2018-03-02,78
28.2526,80.6221,2018-03-02,65
28.3465,80.9865,2018-03-02,59
28.7514,80.2249,2018-03-02,70
29.2826,80.8896,2018-03-02,58
27.8654,81.43,2018-03-02,58
28.8494,80.1352,2018-03-02,50
28.3702,80.7573,2018-03-02,85
28.3516,80.7214,2018-03-02,55
27.9793,83.6201,2018-03-02,75
28.8368,80.1697,2018-03-03,97
28.8332,80.1966,2018-03-03,80
28.8404,80.1642,2018-03-03,95
28.8295,80.2021,2018-03-03,70
27.1359,81.6793,2018-03-03,51
27.3373,83.6737,2018-03-03,62
26.7416,82.2785,2018-03-03,65
27.0053,87.4319,2018-03-03,72
28.0529,81.3052,2018-03-03,52
28.0474,84.9478,2018-03-03,65
28.0626,81.3031,2018-03-03,72
29.5139,80.3282,2018-03-03,79
29.1018,80.6291,2018-03-03,63
28.8446,80.1606,2018-03-03,87
28.8344,80.163,2018-03-03,94
28.8368,80.1765,2018-03-03,89
28.5564,80.5138,2018-03-03,70
28.5422,80.6117,2018-03-03,63
28.2504,80.5319,2018-03-03,71
28.545,83.3572,2018-03-03,71
28.5466,83.3677,2018-03-03,60
28.0986,81.3274,2018-03-03,59
28.0956,81.321,2018-03-03,57
28.1697,83.835,2018-03-04,67
26.9362,84.6762,2018-03-04,56
26.8606,83.0754,2018-03-04,70
26.8621,83.0654,2018-03-04,75
26.9346,84.6863,2018-03-04,68
27.0215,84.5426,2018-03-04,64
28.1219,80.5099,2018-03-04,64
28.3759,80.7342,2018-03-04,66
28.779,80.2109,2018-03-05,90
28.7831,80.1907,2018-03-05,52
28.7913,80.2141,2018-03-05,92
27.5924,85.6466,2018-03-05,64
27.7927,85.0074,2018-03-05,80
27.8054,84.5293,2018-03-05,73
27.7342,84.2287,2018-03-05,69
27.7345,84.2339,2018-03-05,76
27.534,84.5654,2018-03-05,76
27.5364,84.6392,2018-03-05,57
