latitude,longitude,acq_date,confidence
28.5891,83.3878,2018-01-01,56
28.5908,83.4063,2018-01-01,89
27.4634,86.9477,2018-01-02,75
26.9113,87.6326,2018-01-02,60
27.0959,87.6791,2018-01-03,67
27.4965,82.5103,2018-01-03,59
30.0705,80.294,2018-01-03,90
30.0692,80.2838,2018-01-03,50
29.6553,80.3519,2018-01-03,60
28.4806,83.6395,2018-01-04,53
28.3835,84.4899,2018-01-04,56
28.3826,84.4946,2018-01-04,68
29.7175,82.0782,2018-01-05,57
29.6352,82.0794,2018-01-05,85
28.3621,81.1101,2018-01-05,53
27.2454,83.9973,2018-01-05,57
29.7461,81.3208,2018-01-06,86
29.6874,82.106,2018-01-07,73
29.2338,81.5634,2018-01-07,52
28.9649,82.9425,2018-01-07,57
27.5759,81.8066,2018-01-07,52
27.5783,81.8206,2018-01-07,63
30.0766,80.5599,2018-01-07,74
29.0065,82.0876,2018-01-08,71
29.0084,82.0928,2018-01-08,80
27.19,84.3648,2018-01-08,55
27.1914,84.3547,2018-01-08,72
29.7959,82.0994,2018-01-09,90
28.9601,83.8135,2018-01-09,66
28.9575,83.7994,2018-01-09,82
29.0761,82.2814,2018-01-09,73
30.0097,80.7193,2018-01-09,71
28.9614,82.6631,2018-01-09,59
29.0711,82.2868,2018-01-09,50
28.3432,84.7569,2018-01-09,52
28.4502,84.8346,2018-01-09,54
27.0474,87.1606,2018-01-09,75
30.0967,80.62,2018-01-09,67
28.5376,83.538,2018-01-10,82
30.0411,80.7062,2018-01-10,59
30.0057,80.7397,2018-01-10,54
29.2145,82.4175,2018-01-10,63
29.0499,81.7682,2018-01-10,65
28.9559,82.6447,2018-01-10,64
28.9152,82.5711,2018-01-10,62
28.8722,82.8223,2018-01-10,82
28.4992,83.2267,2018-01-10,76
28.5418,83.5587,2018-01-10,69
29.0463,82.8485,2018-01-10,58
28.5401,83.5425,2018-01-10,94
29.0891,82.3014,2018-01-10,72
29.7224,81.2295,2018-01-10,72
29.7172,81.2358,2018-01-10,77
27.4578,86.9216,2018-01-10,54
28.5392,83.5539,2018-01-10,82
28.087,85.0031,2018-01-10,60
28.5476,83.5469,2018-01-10,60
27.4593,86.9107,2018-01-10,60
29.1516,81.6681,2018-01-10,94
29.1499,81.6752,2018-01-10,90
29.2028,81.8062,2018-01-10,81
29.2047,81.7861,2018-01-10,66
29.7202,81.2542,2018-01-10,62
28.8538,82.8737,2018-01-11,78
28.8672,82.8663,2018-01-11,50
29.0871,82.3038,2018-01-11,58
29.1735,82.2753,2018-01-11,79
26.9295,87.5629,2018-01-11,70
27.5915,87.6983,2018-01-11,75
28.9896,82.737,2018-01-11,70
27.5944,87.715,2018-01-11,54
