feature,year,n_files,dtype,crs,nodata,count,min,max,mean,std,p01,p05,p50,p95,p99
elevation,static,1,float32,EPSG:4326,-9999.0,168064,62.0,8364.0,2114.8649383568163,1756.6272696188423,78.0,104.0,1586.0,5336.0,5942.0
fire16,2018,10,uint8,EPSG:4326,0.0,1834,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
fire16,2019,10,uint8,EPSG:4326,0.0,2632,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
fire16,2020,10,uint8,EPSG:4326,0.0,546,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
fire16,2021,10,uint8,EPSG:4326,0.0,5276,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
fire16,2022,10,uint8,EPSG:4326,0.0,1118,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
fire16,2023,10,uint8,EPSG:4326,0.0,2765,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
fire16,2024,10,uint8,EPSG:4326,0.0,4512,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
fire16,2025,10,uint8,EPSG:4326,0.0,1912,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
ndvi16,2018,10,float32,EPSG:4326,-9999.0,1680640,-1972.0,9449.0,4381.505740075209,2385.298346826928,-489.0,-236.0,4954.0,7512.0,8092.0
ndvi16,2019,10,float32,EPSG:4326,-9999.0,1680640,-1885.0,9369.0,4295.884114980007,2617.9614208042494,-554.0,-357.0,5100.0,7543.0,8151.0
ndvi16,2020,10,float32,EPSG:4326,-9999.0,1680640,-1930.0,9626.0,4469.415197186786,2800.451803634802,-604.0,-378.0,5475.0,7770.0,8318.0
ndvi16,2021,10,float32,EPSG:4326,-9999.0,1680640,-1935.0,9649.0,4311.62187083492,2365.451998436717,-586.0,-207.0,4834.0,7439.0,8050.0
ndvi16,2022,10,float32,EPSG:4326,-9999.0,1680640,-1874.0,9876.0,4569.9563374666795,2666.23247974396,-604.0,-353.0,5429.0,7764.0,8312.0
