year,t1,t2,t3,t4,patch_row,patch_col,has_fire,valid_ratio
2018,20180117,20180202,20180218,20180306,48,64,0,0.625
2018,20180117,20180202,20180218,20180306,48,80,0,0.50390625
2018,20180117,20180202,20180218,20180306,48,176,0,0.6611328125
2018,20180117,20180202,20180218,20180306,48,192,0,0.7294921875
2018,20180117,20180202,20180218,20180306,48,208,0,0.5087890625
2018,20180117,20180202,20180218,20180306,64,48,0,0.8173828125
2018,20180117,20180202,20180218,20180306,64,64,0,0.9609375
2018,20180117,20180202,20180218,20180306,64,80,0,0.8408203125
2018,20180117,20180202,20180218,20180306,64,96,0,0.556640625
2018,20180117,20180202,20180218,20180306,64,112,1,0.5068359375
2018,20180117,20180202,20180218,20180306,64,128,1,0.58984375
2018,20180117,20180202,20180218,20180306,64,176,0,0.7763671875
2018,20180117,20180202,20180218,20180306,64,192,0,0.9169921875
2018,20180117,20180202,20180218,20180306,64,208,0,0.8408203125
2018,20180117,20180202,20180218,20180306,64,224,0,0.5703125
2018,20180117,20180202,20180218,20180306,80,32,1,0.7021484375
2018,20180117,20180202,20180218,20180306,80,48,1,1.0
2018,20180117,20180202,20180218,20180306,80,64,0,1.0
2018,20180117,20180202,20180218,20180306,80,80,0,0.9775390625
2018,20180117,20180202,20180218,20180306,80,96,0,0.87890625
2018,20180117,20180202,20180218,20180306,80,112,1,0.87890625
2018,20180117,20180202,20180218,20180306,80,128,1,0.9423828125
2018,20180117,20180202,20180218,20180306,80,144,0,0.703125
2018,20180117,20180202,20180218,20180306,80,160,0,0.6943359375
2018,20180117,20180202,20180218,20180306,80,176,0,0.9560546875
2018,20180117,20180202,20180218,20180306,80,192,0,1.0
2018,20180117,20180202,20180218,20180306,80,208,0,0.98046875
2018,20180117,20180202,20180218,20180306,80,224,0,0.8017578125
2018,20180117,20180202,20180218,20180306,80,240,0,0.5703125
2018,20180117,20180202,20180218,20180306,80,256,0,0.5595703125
2018,20180117,20180202,20180218,20180306,80,272,0,0.525390625
2018,20180117,20180202,20180218,20180306,96,32,1,0.8447265625
2018,20180117,20180202,20180218,20180306,96,48,1,1.0
2018,20180117,20180202,20180218,20180306,96,64,0,1.0
2018,20180117,20180202,20180218,20180306,96,80,1,1.0
2018,20180117,20180202,20180218,20180306,96,96,1,1.0
2018,20180117,20180202,20180218,20180306,96,112,0,1.0
2018,20180117,20180202,20180218,20180306,96,128,1,1.0
2018,20180117,20180202,20180218,20180306,96,144,1,0.9384765625
2018,20180117,20180202,20180218,20180306,96,160,0,0.93359375
2018,20180117,20180202,20180218,20180306,96,176,0,0.9951171875
2018,20180117,20180202,20180218,20180306,96,192,0,1.0
2018,20180117,20180202,20180218,20180306,96,208,0,1.0
2018,20180117,20180202,20180218,20180306,96,224,0,0.966796875
2018,20180117,20180202,20180218,20180306,96,240,0,0.78515625
2018,20180117,20180202,20180218,20180306,96,256,0,0.5947265625
2018,20180117,20180202,20180218,20180306,96,272,0,0.5283203125
2018,20180117,20180202,20180218,20180306,96,288,0,0.5
2018,20180117,20180202,20180218,20180306,96,304,0,0.5205078125
2018,20180117,20180202,20180218,20180306,96,320,0,0.517578125
2018,20180117,20180202,20180218,20180306,112,16,0,0.5380859375
2018,20180117,20180202,20180218,20180306,112,32,0,0.984375
2018,20180117,20180202,20180218,20180306,112,48,0,1.0
2018,20180117,20180202,20180218,20180306,112,64,0,1.0
2018,20180117,20180202,20180218,20180306,112,80,1,1.0
2018,20180117,20180202,20180218,20180306,112,96,1,1.0
2018,20180117,20180202,20180218,20180306,112,112,1,1.0
2018,20180117,20180202,20180218,20180306,112,128,1,1.0
2018,20180117,20180202,20180218,20180306,112,144,1,0.9873046875
2018,20180117,20180202,20180218,20180306,112,160,0,0.986328125
2018,20180117,20180202,20180218,20180306,112,176,0,0.9990234375
2018,20180117,20180202,20180218,20180306,112,192,0,1.0
2018,20180117,20180202,20180218,20180306,112,208,0,0.9990234375
2018,20180117,20180202,20180218,20180306,112,224,0,0.97265625
2018,20180117,20180202,20180218,20180306,112,240,0,0.8251953125
2018,20180117,20180202,20180218,20180306,112,256,0,0.5146484375
2018,20180117,20180202,20180218,20180306,128,16,0,0.6201171875
2018,20180117,20180202,20180218,20180306,128,32,0,0.9912109375
2018,20180117,20180202,20180218,20180306,128,48,0,1.0
2018,20180117,20180202,20180218,20180306,128,64,0,1.0
2018,20180117,20180202,20180218,20180306,128,80,1,1.0
2018,20180117,20180202,20180218,20180306,128,96,1,1.0
2018,20180117,20180202,20180218,20180306,128,112,1,1.0
2018,20180117,20180202,20180218,20180306,128,128,0,1.0
2018,20180117,20180202,20180218,20180306,128,144,0,0.990234375
2018,20180117,20180202,20180218,20180306,128,160,1,0.9892578125
2018,20180117,20180202,20180218,20180306,128,176,1,0.9951171875
2018,20180117,20180202,20180218,20180306,128,192,0,0.9951171875
2018,20180117,20180202,20180218,20180306,128,208,1,0.9853515625
2018,20180117,20180202,20180218,20180306,128,224,1,0.90234375
2018,20180117,20180202,20180218,20180306,128,240,0,0.88671875
2018,20180117,20180202,20180218,20180306,128,256,0,0.7568359375
2018,20180117,20180202,20180218,20180306,128,272,1,0.5556640625
2018,20180117,20180202,20180218,20180306,128,416,0,0.66015625
2018,20180117,20180202,20180218,20180306,128,432,0,0.7080078125
2018,20180117,20180202,20180218,20180306,144,16,0,0.8701171875
2018,20180117,20180202,20180218,20180306,144,32,1,1.0
2018,20180117,20180202,20180218,20180306,144,48,1,1.0
2018,20180117,20180202,20180218,20180306,144,64,0,1.0
2018,20180117,20180202,20180218,20180306,144,80,1,1.0
2018,20180117,20180202,20180218,20180306,144,96,1,1.0
2018,20180117,20180202,20180218,20180306,144,112,1,1.0
2018,20180117,20180202,20180218,20180306,144,128,0,1.0
2018,20180117,20180202,20180218,20180306,144,144,1,1.0
2018,20180117,20180202,20180218,20180306,144,160,1,1.0
2018,20180117,20180202,20180218,20180306,144,176,1,0.99609375
2018,20180117,20180202,20180218,20180306,144,192,1,0.994140625
2018,20180117,20180202,20180218,20180306,144,208,1,0.958984375
2018,20180117,20180202,20180218,20180306,144,224,1,0.8681640625
2018,20180117,20180202,20180218,20180306,144,240,0,0.865234375
2018,20180117,20180202,20180218,20180306,144,256,0,0.90625
2018,20180117,20180202,20180218,20180306,144,272,1,0.86328125
2018,20180117,20180202,20180218,20180306,144,288,1,0.7958984375
2018,20180117,20180202,20180218,20180306,144,304,0,0.7216796875
2018,20180117,20180202,20180218,20180306,144,400,0,0.501953125
2018,20180117,20180202,20180218,20180306,144,416,0,0.9013671875
2018,20180117,20180202,20180218,20180306,144,432,0,0.8720703125
2018,20180117,20180202,20180218,20180306,160,0,1,0.6923828125
2018,20180117,20180202,20180218,20180306,160,16,1,1.0
2018,20180117,20180202,20180218,20180306,160,32,1,1.0
2018,20180117,20180202,20180218,20180306,160,48,1,1.0
2018,20180117,20180202,20180218,20180306,160,64,1,1.0
2018,20180117,20180202,20180218,20180306,160,80,1,1.0
2018,20180117,20180202,20180218,20180306,160,96,1,1.0
2018,20180117,20180202,20180218,20180306,160,112,1,1.0
2018,20180117,20180202,20180218,20180306,160,128,0,1.0
2018,20180117,20180202,20180218,20180306,160,144,1,1.0
2018,20180117,20180202,20180218,20180306,160,160,1,1.0
2018,20180117,20180202,20180218,20180306,160,176,0,1.0
2018,20180117,20180202,20180218,20180306,160,192,1,0.9990234375
2018,20180117,20180202,20180218,20180306,160,208,1,0.97265625
2018,20180117,20180202,20180218,20180306,160,224,0,0.96484375
2018,20180117,20180202,20180218,20180306,160,240,0,0.96484375
2018,20180117,20180202,20180218,20180306,160,256,0,0.970703125
2018,20180117,20180202,20180218,20180306,160,272,0,0.9287109375
2018,20180117,20180202,20180218,20180306,160,288,0,0.8544921875
2018,20180117,20180202,20180218,20180306,160,304,0,0.8046875
